STM0001	thr operon leader peptide
STM1939	putative glucose-6-phosphate dehydrogenase
STM1940	putative cell wall-associated hydrolase
STM1941	hypothetical protein
STM1945	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
STM1946	excinuclease ABC subunit C
STM1947	two-component system response regulator UvrY
STM1948	hypothetical protein
STM1949	hypothetical protein
STM1950	transcriptional regulator SdiA
STM1951	L-cystine ABC transporter ATP-binding protein YecC
STM1952	amino acid ABC transporter permease
STM1953	D-cysteine desulfhydrase
STM1954	cystine ABC transporter substrate-binding protein
STM1955	flagellar regulatory protein FliZ
STM1956	RNA polymerase sigma factor FliA
STM1957	IS200 family transposase
STM1958	lysine-N-methylase
STM1959	flagellin
STM1960	flagellar filament-capping protein FliD
STM1961	flagellar export chaperone FliS
STM1962	flagellar biosynthesis protein FliT
STM1963	alpha-amylase
STM1964	hypothetical protein
STM1965	putative membrane component of transport system
STM1966	hypothetical protein
STM1967	putative 50S ribosomal protein
STM1968	flagellar hook-basal body complex protein FliE
STM1969	flagellar M-ring protein FliF
STM1970	flagellar motor switch protein FliG
STM1971	flagellar assembly protein FliH
STM1972	flagellum-specific ATP synthase FliI
STM1973	flagellar biosynthesis chaperone FliJ
STM1974	flagellar hook-length control protein FliK
STM1975	flagellar basal body-associated protein FliL
STM1976	flagellar motor switch protein FliM
STM1977	flagellar motor switch protein FliN
STM1978	flagellar biosynthesis protein
STM1979	flagellar biosynthetic protein FliP
STM1980	flagellar export apparatus protein FliQ
STM1981	flagellar biosynthetic protein FliR
STM1982	helix-turn-helix transcriptional regulator
STM1984	hypothetical protein
STM1986	mannosyl-3-phosphoglycerate phosphatase
STM1987	diguanylate cyclase
STM1988	putative cytoplasmic protein
STM1989	hypothetical protein
STM1990	drug/metabolite exporter YedA
STM1991	very short patch repair endonuclease
STM1992	DNA (cytosine-5-)-methyltransferase
STM1993	phosphohydrolase
STM1994	putative inner membrane protein
STM1995	putative porin
STM1996	putative cold-shock protein
STM1997	DNA polymerase V subunit UmuC
STM1998	DNA polymerase V subunit UmuD
STM1999	hypothetical protein
STM2001	hypothetical protein
STM2005	peptidase
STM2006	hypothetical protein
STM2007	putative TPR repeat protein
STM2008	hypothetical protein
STM2009	AMP nucleosidase
STM2010	hypothetical protein
STM2011	hypothetical protein
STM2013	FMN/FAD transporter
STM2015	L,D-transpeptidase
STM2016	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
STM2017	adenosylcobinamide-GDP ribazoletransferase
STM2018	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
STM2019	synthesis of vitamin B12 adenosyl cobalamide precursor
STM2020	energy-coupling factor ABC transporter ATP-binding protein
STM2021	cobalt ECF transporter T component CbiQ
STM2022	cobalt ABC transporter substrate-binding protein CbiN
STM2023	cobalamin biosynthesis protein CbiM
STM2024	precorrin-2 C(20)-methyltransferase
STM2025	sirohydrochlorin cobaltochelatase
STM2026	cobalt-precorrin-6A reductase
STM2027	precorrin-3B C(17)-methyltransferase
STM2028	cobalamin biosynthesis protein CbiG
STM2029	precorrin-4 C(11)-methyltransferase
STM2030	precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT
STM2031	precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE
STM2032	cobalt-precorrin-5B (C(1))-methyltransferase
STM2033	precorrin-8X methylmutase
STM2034	adenosylcobinamide-phosphate synthase
STM2035	cobyrinic acid a,c-diamide synthase
STM2036	hypothetical protein
STM2037	aquaporin
STM2038	propanediol utilization protein
STM2039	propanediol utilization protein
STM2040	propanediol dehydratase
STM2041	propanediol dehydratase
STM2042	propanediol dehydratase
STM2043	diol dehydratase reactivase subunit alpha
STM2044	propanediol dehydratase
STM2045	ethanolamine utilization protein EutM
STM2046	propanediol utilization protein
STM2047	propanediol utilization protein
STM2048	microcompartment protein PduM
STM2049	ethanolamine utilization protein EutN
STM2050	ATP:cob(I)alamin adenosyltransferase
STM2051	aldehyde dehydrogenase EutE
STM2052	propanediol utilization protein
STM2053	NADH dehydrogenase
STM2054	propanediol utilization protein
STM2055	propanediol utilization protein
STM2056	ethanolamine utilization protein EutP
STM2057	acetate kinase
STM2058	GHMP kinase
STM2059	hypothetical protein
STM2060	hypothetical protein
STM2061	DNA gyrase inhibitor
STM2062	serine-type D-Ala-D-Ala carboxypeptidase
STM2063	thiosulfate reductase cytochrome subunit B
STM2064	thiosulfate reductase electron transport protein PhsB
STM2065	thiosulfate reductase PhsA
STM2066	E3 ubiquitin--protein ligase
STM2067	exodeoxyribonuclease I
STM2068	putative APC family amino acid transport protein
STM2069	putative LysR family transcriptional regulator
STM2070	NAD(P)-dependent oxidoreductase
STM2071	ATP phosphoribosyltransferase
STM2072	histidinol dehydrogenase
STM2073	histidinol-phosphate transaminase
STM2074	bifunctional imidazole glycerol-phosphate dehydratase/histidinol phosphatase
STM2075	glutamine amidotransferase
STM2076	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino
STM2077	imidazole glycerol phosphate synthase subunit HisF
STM2078	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase
STM2079	LPS O-antigen chain length determinant protein WzzB
STM2080	UDP-glucose 6-dehydrogenase
STM2081	phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)
STM2082	UDP-phosphate galactose phosphotransferase
STM2083	phosphomannomutase
STM2084	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
STM2085	rhamnosyltransferase
STM2086	mannosyl transferase
STM2087	abequosyltransferase
STM2088	putative O-antigen transferase
STM2089	CDP-abequose synthase
STM2090	lipopolysaccharide biosynthesis protein RfbH
STM2091	CDP-glucose 4,6-dehydratase
STM2092	glucose-1-phosphate cytidylyltransferase
STM2093	CDP-6-deoxy-delta-3,4-glucoseen reductase
STM2094	dTDP-4,deoxyrhamnose 3,5 epimerase
STM2095	glucose-1-phosphate thymidylyltransferase
STM2096	dTDP-4-dehydrorhamnose reductase
STM2097	dTDP-glucose 4,6-dehydratase
STM2098	GalU regulator GalF
STM2099	colanic acid biosynthesis protein WcaM
STM2100	colanic acid biosynthesis glycosyltransferase WcaL
STM2101	colanic acid biosynthesis pyruvyl transferase WcaK
STM2102	colanic acid exporter
STM2103	undecaprenyl-phosphate glucose phosphotransferase
STM2104	phosphomannomutase
STM2105	mannose-1-phosphate
STM2106	putative glycosyl transferase
STM2107	GDP-mannose mannosyl hydrolase
STM2108	GDP-fucose synthetase
STM2109	GDP-mannose 4,6-dehydratase
STM2110	colanic acid biosynthesis acetyltransferase WcaF
STM2111	colanic acid biosynthesis glycosyltransferase WcaE
STM2112	colanic acid polymerase WcaD
STM2113	colanic acid biosynthesis glycosyltransferase WcaC
STM2114	colanic acid biosynthesis acetyltransferase WcaB
STM2115	colanic acid biosynthesis glycosyltransferase WcaA
STM2116	putative tyrosine-protein kinase
STM2117	protein tyrosine phosphatase
STM2118	polysaccharide exporter Wza
STM2119	hypothetical protein
STM2120	outer membrane assembly protein AsmA
STM2121	dCTP deaminase
STM2122	uridine kinase
STM2123	diguanylate cyclase
STM2124	DNA-3-methyladenine glycosylase 2
STM2125	molecular chaperone
STM2126	multidrug transporter subunit MdtA
STM2127	multidrug transporter subunit MdtB
STM2128	multidrug transporter subunit MdtC
STM2129	multidrug transporter subunit MdtD
STM2130	two-component system sensor histidine kinase BaeA
STM2131	two-component system response regulator BaeR
STM2133	putative cytoplasmic protein
STM2134	hypothetical protein
STM2135	hypothetical protein
STM2136	U32 family peptidase
STM2137	putative cytoplasmic protein
STM2138	Tir chaperone family protein
STM2139	hypothetical protein
STM2140	lipid kinase YegS
STM2141	class I fructose-bisphosphate aldolase
STM2142	MFS transporter
STM2143	hypothetical protein
STM2144	putative sugar kinase
STM2145	GntR family transcriptional regulator
STM2146	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
STM2147	hydroxyethylthiazole kinase
STM2148	heavy metal resistance protein
STM2149	adhesin
STM2150	fimbrial assembly protein
STM2151	putative periplasmic chaperone protein
STM2152	fimbrial chaperone protein
STM2153	hypothetical protein
STM2154	Fe-S-binding ATPase
STM2155	methionine--tRNA ligase
STM2156	hypothetical protein
STM2156A	hypothetical protein
STM2157	hypothetical protein
STM2158	two-component system response regulator YehT
STM2159	sensor histidine kinase
STM2160	transcriptional regulator
STM2161	hypothetical protein
STM2162	ABC transporter permease
STM2163	ABC transporter ATP-binding protein
STM2164	ABC transporter permease
STM2165	ABC transporter substrate-binding protein
STM2166	beta-glucosidase
STM2167	D-lactate dehydrogenase
STM2168	D-alanyl-D-alanine endopeptidase
STM2169	hypothetical protein
STM2170	putative DedA family, membrane protein
STM2171	SDR family oxidoreductase
STM2172	multidrug transporter permease
STM2173	hypothetical protein
STM2174	tRNA dihydrouridine(16) synthase DusC
STM2175	salicylate hydroxylase
STM2176	maleylacetoacetate isomerase
STM2177	5-carboxymethyl-2-hydroxymuconate isomerase
STM2178	gentisate 1,2-dioxygenase
STM2179	4-hydroxybenzoate transporter
STM2180	transcriptional regulator
STM2181	hypothetical protein
STM2182	CidB/LrgB family autolysis modulator
STM2183	cytidine deaminase
STM2184	vancomycin high temperature exclusion protein
STM2185	putative inner membrane protein
STM2186	dihydropyrimidine dehydrogenase subunit A
STM2187	dihydropyrimidine dehydrogenase subunit B
STM2188	galactoside ABC transporter permease MglC
STM2189	galactose/methyl galactoside ABC transporter ATP-binding protein MglA
STM2190	methyl-galactoside ABC transporter substrate-binding protein
STM2191	DNA-binding transcriptional regulator GalS
STM2192	hypothetical protein
STM2193	GTP cyclohydrolase I FolE
STM2194	S-formylglutathione hydrolase
STM2195	putative transcriptional regulator
STM2196	L-serine ammonia-lyase
STM2197	phosphoserine phosphatase SerB
STM2198	MFS transporter
STM2199	catecholate siderophore receptor CirA
STM2200	lysine transporter
STM2201	putative LysR family transcriptional regulator
STM2202	hypothetical protein
STM2203	deoxyribonuclease IV
STM2204	PTS fructose transporter subunit IIBC
STM2205	1-phosphofructokinase
STM2206	bifunctional PTS fructose transporter subunit IIA/HPr protein
STM2207	sugar efflux transporter SetB
STM2208	hypothetical protein
STM2209	hypothetical protein
STM2211	putative elongation factor
STM2212	hypothetical protein
STM2213	hypothetical protein
STM2214	bifunctional murein DD-endopeptidase/murein LD-carboxypeptidase
STM2215	phage resistance protein
STM2216	ABC transporter substrate-binding protein
STM2217	microcin C ABC transporter permease YejB
STM2218	microcin ABC transporter permease
STM2219	microcin C ABC transporter ATP-binding protein YejF
STM2220	hypothetical protein
STM2221	Bcr/CflA family drug resistance efflux transporter
STM2222	16S rRNA pseudouridine(516) synthase
STM2223	putative ATP-dependent helicase
STM2224	50S ribosomal protein L25
STM2225	hypothetical protein
STM2226	nucleoid-associated protein YejK
STM2227	hypothetical protein
STM2228	hypothetical protein
STM2230	putative peptidase
STM2231	ssrB-regulated factor
STM2232	acyltransferase
STM2233	phage tail protein
STM2234	phage tail protein
STM2235	hypothetical protein
STM2236	peptidase
STM2237	lambda family phage holin
STM2238	NTPase
STM2239	hypothetical protein
STM2240	hypothetical protein
STM2241	E3 ubiquitin--protein ligase
STM2242	putative tail fiber protein of phage
STM2243	phage tail protein
STM2244	virulence protein MsgA
STM2245	putative outer membrane protein
STM2246	DNA-binding response regulator
STM2247	cytochrome c biogenesis protein CcmH
STM2248	thiol:disulfide interchange protein
STM2249	c-type cytochrome biogenesis protein CcmF
STM2250	cytochrome c biogenesis protein CcmE
STM2251	heme exporter CcmD
STM2252	heme ABC transporter permease
STM2253	heme exporter CcmB
STM2254	heme ABC transporter ATP-binding protein CcmA
STM2255	cytochrome c-type protein NapC
STM2256	nitrate reductase
STM2257	quinol dehydrogenase ferredoxin subunit NapH
STM2258	ferredoxin-type protein NapG
STM2259	nitrate reductase catalytic subunit
STM2260	nitrate reductase
STM2261	ferredoxin-type protein NapF
STM2262	ecotin
STM2263	multidrug ABC transporter permease/ATP-binding protein
STM2264	alpha-ketoglutarate-dependent dioxygenase AlkB
STM2265	bifunctional transcriptional regulator/O6-methylguanine-DNA methyltransferase
STM2266	FAD:protein FMN transferase ApbE
STM2267	porin OmpC
STM2269	phosphotransferase RcsD
STM2270	DNA-binding response regulator
STM2271	two-component system sensor histidine kinase/response regulator
STM2272	DNA gyrase subunit A
STM2273	MR-MLE family protein
STM2274	MFS transporter
STM2275	putative gntR family regulatory protein
STM2276	2-octaprenyl-6-hydroxy phenol methylase
STM2277	ribonucleoside-diphosphate reductase subunit alpha
STM2278	ribonucleotide-diphosphate reductase subunit beta
STM2279	2Fe-2S ferredoxin
STM2280	MFS transporter
STM2281	transcriptional regulator
STM2282	glycerophosphodiester phosphodiesterase
STM2283	glycerol-3-phosphate transporter
STM2284	sn-glycerol-3-phosphate dehydrogenase subunit A
STM2285	anaerobic glycerol-3-phosphate dehydrogenase subunit B
STM2286	sn-glycerol-3-phosphate dehydrogenase subunit C
STM2287	putative cytoplasmic protein
STM2288	putative cytoplasmic protein
STM2289	2-keto-3-deoxy-L-rhamnonate aldolase
STM2290	MFS transporter
STM2291	putative galactonate dehydratase
STM2292	IclR family transcriptional regulator
STM2293	competence/damage-inducible protein A
STM2294	putative inner membrane protein
STM2295	nucleoside triphosphatase
STM2296	histidine phosphatase family protein
STM2297	putative DegT/DnrJ/EryC1/StrS family
STM2298	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
STM2299	bifunctional UDP-glucuronic acid oxidase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase
STM2300	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase
STM2301	4-amino-4-deoxy-L-arabinose lipid A transferase
STM2302	4-amino-4-deoxy-L-arabinose-phospho-UDP flippase
STM2303	4-amino-4-deoxy-L-arabinose-phospho-UDP flippase
STM2304	signal transduction protein PmrD
STM2305	o-succinylbenzoate--CoA ligase
STM2306	o-succinylbenzoate synthase
STM2307	1,4-dihydroxy-2-naphthoyl-CoA synthase
STM2308	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
STM2309	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
STM2310	isochorismate synthase MenF
STM2311	putative inner membrane protein
STM2312	GNAT family N-acetyltransferase
STM2313	ribonuclease Z
STM2314	chemotaxis protein CheV
STM2315	hypothetical protein
STM2316	NADH dehydrogenase I chain N
STM2317	NADH-quinone oxidoreductase subunit M
